86,25093,11.958004951477
1,1400000,138.32449316978
3,49999,12.971544027328
1,301410278,1242.8513419628
8,7838,114.90340185165
3,30141026,207.98448681831
1,175289466,634.89289212227
53,8900,9.6299161911011
86,1693391,14.448433160782
2,156861,10.020514965057
86,36373,8.2931079864502
23,149584882,518.97070908546
8,3000,112.12040400505
11,301410278,1119.2688159943
3,5495847,114.2429330349
1,301410278,1298.6206889153
1,232184004,798.34612798691
4,4143,11.550884008408,512865c1da31086b4249c1dba04fcb66
5,4143,10.066052913666,f0ed24a6bc8ba1ef59033e52a59e0330
26,4224,11.913500070572,f14af18db2b91cfc59ad9897b3769d4d
25,4224,8.6338770389557,20a5089a7473907405e919ba87e74e1d
26,4224,11.376919984818,b11884ffec0df6ad56411a2e6e125e4a
1210,301410278,7609.2260239124,5b01986bf1e9a5d200f885dbb01361b1
1210,301410278,9123.6166830063,d604afd1dc45306715233cc06d294bf2
4,1971,10.728099822998,9d85c3f0db1f79b5cc7aff02a7d6c88a
1,3928,108.60847616196,08f9722bdc968a0699dbb6ec648e35d6
2,301410278,1144.4890909195,8a47cb8d2e7ad58cb751d9d4f446b1c0
1,301410278,781.88907599449,190b6e3caba8550a53f4b266e70197b9
5,1972,11.54660487175,add2f2b8db76b7351ff75aa8f8818508
23,1972,12.398297071457,f87bb87a4866bbfe32094c11f4df2364
1210,1972,16.379315137863,1189f4826633742e3249c8ad109cfe73
43,1972,11.858601808548,c32f3274b72da1ae0a7b648e9d79ba86
1,301410278,806.77709889412,54f1a8a9955754dbb11e6229fb787496
1,301410278,787.53160905838,1202b933399a75c456e808cce2ac9a9e
3,53819981,139.46349596977,a77d23ef8d8d51abcf56ba45f8879215
3,53819981,135.9723110199,bf444eacecb75920f92bef32aafe0ad0
3,211196,12.359210968018,3b9999cd49ca612fd66687a15d55febe
3,211196,8.3073699474335,cfb04ef2c41cb1077fca9531f8eaa522
3,53819981,130.11734080315,8d9456db63f3e6152d69a49dfc5f9814
3,41397473,108.63898992538,e0c3464e13d428e4db53e237ae9352ab
3,2000000,11.150050878525,abc8a50becbd4d39b599685f77c54a71
3,41397473,109.62837505341,3860d29b7bd2d3dc0f41cbbcbdda61b2
1,301410278,793.74835515022,1cea22c4a2d62de58a881c428d862766
1,301410278,769.0571038723,4b56cc2b7a369e595982bd8b94b26234
1,29999,6.7611010074615,163518ac5dbf007eeca88e1f70788468
1,999999,13.686284065247,ab41dc7855c331368c2a0f1b9d61fe0f
1,2000000,25.29970908165,b2572bca7c05dfd0ab7e5d6c783f1c04
1,301410278,1146.8094649315,e8af23c499693ab91c1270e3884f18b7
19,1972,12.715265035629,e72f0e9e907fe0637aa366d8aba8710f
